Campus,Term,Career,Class Nbr,Subject,Catalog Nbr,Title,Class Section,Course ID,Component Units,Facility ID,Meeting Start,Meeting End,Standard Meeting Pattern,Last Name,Initials,Enrollment Capacity,Enrollment Total,Learning Mode Descr
SDSU,Fall 2023,UGRD,7018,CIV E,220,CEE Computer App,1003,31785,2,E221,12:00 PM,1:40 PM,W,Parsons,T,47,47,Face-to-face
SDSU,Fall 2023,UGRD,7019,CIV E,220,CEE Computer App,1004,31785,2,E221,2:00 PM,3:40 PM,W,Parsons,T,47,37,Face-to-face
SDSU,Fall 2023,UGRD,7020,CIV E,220,CEE Computer App,1005,31785,2,PS231,9:00 AM,10:40 AM,R,Parsons,T,47,32,Face-to-face
SDSU,Fall 2023,UGRD,7023,CIV E,220,CEE Computer App,1006,31785,2,PS231,1:00 PM,2:40 PM,R,Parsons,T,47,35,Face-to-face
SDSU,Fall 2023,UGRD,7029,CIV E,225,Mechanics for Civil Engin,1001,37971,3,GMCS305,8:00 AM,9:15 AM,TR,Schraff,A,40,40,Face-to-face
SDSU,Fall 2023,UGRD,7030,CIV E,225,Mechanics for Civil Engin,1002,37971,3,LSS365,2:00 PM,3:15 PM,MW,Schraff,A,60,60,Face-to-face
SDSU,Fall 2023,UGRD,7031,CIV E,225,Mechanics for Civil Engin,1003,37971,3,GMCS325,5:30 PM,6:45 PM,TR,Schraff,A,40,40,Face-to-face
SDSU,Fall 2023,UGRD,5838,A E,340,Fluid Mechanics,1001,38493,3,NE060,4:00 PM,5:15 PM,TR,Wang,Q,150,132,Face-to-face
SDSU,Fall 2023,UGRD,5839,A E,340,Fluid Mechanics,1002,38493,3,NE060,5:30 PM,6:45 PM,TR,Katz,J,60,60,Face-to-face
SDSU,Fall 2023,UGRD,5840,A E,341,Fluid Mechanics Lab,1001,37953,1,EIS010,2:00 PM,3:40 PM,M,,,25,25,Face-to-face
SDSU,Fall 2023,UGRD,5840,A E,341,Fluid Mechanics Lab,1001,37953,1,E328,1:00 PM,1:50 PM,M,Abassi,M,25,25,Face-to-face
SDSU,Fall 2023,GRAD,5948,A E,678,Flight Control,1001,39325,3,E427,5:30 PM,6:45 PM,MW,Chen,J,40,6,Face-to-face
SDSU,Fall 2023,GRAD,5949,A E,600,Seminar,1001,33758,3,GMCS308,8:30 PM,9:45 PM,TR,Wang,Q,25,2,Face-to-face
SDSU,Fall 2023,GRAD,5950,A E,797,Research,1001,20,3,,,,ARR,Liu,X,5,0,Face-to-face
SDSU,Fall 2023,GRAD,5955,A E,798,Special Study,1001,21,3,,,,ARR,Liu,X,5,0,Face-to-face
SDSU,Fall 2023,GRAD,5958,A E, 799A,Thesis,1,22,3,,,,ARR,Grad,O,1,0,Face-to-face
SDSU,Fall 2023,UGRD,5691,A E,200,Statics,1001,36644,3,COM207,3:30 PM,4:45 PM,MW,Venkataraman,S,80,79,Face-to-face
SDSU,Fall 2023,UGRD,8633,E E,420,Feedback Control Systems,2001,27631,3,E328,11:00 AM,12:15 PM,TR,Seshagiri,S,49,29,Face-to-face
SDSU,Fall 2023,UGRD,8281,M E,499,Special Study,1001,2314,3,,,,ARR,Abraham,J,1,0,Face-to-face
SDSU,Fall 2023,UGRD,8284,M E,499,Special Study,3001,2314,3,,,,ARR,Abraham,J,10,0,Face-to-face
SDSU,Fall 2023,UGRD,8285,M E,499,Special Study,3002,2314,3,,,,ARR,Beyene,A,10,0,Face-to-face
SDSU,Fall 2023,UGRD,8286,M E,499,Special Study,3003,2314,3,,,,ARR,Adibi Sedeh,S,10,0,Face-to-face
